rank,file,folder,affinity_kcal_mol,Kd_M,full_path
19,CD39_antibody_74.pdb,CD39_antibody_remaining164,-9.9,5.1e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_74.pdb
20,CD39_antibody_1.pdb,CD39_antibody_remaining164,-9.8,6.2e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_1.pdb
21,CD39_antibody_44.pdb,CD39_antibody_300,-9.8,6.5e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_44.pdb
22,CD39_antibody_68.pdb,CD39_antibody_remaining164,-9.8,6.3e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_68.pdb
23,CD39_antibody_48.pdb,CD39_antibody_remaining164,-9.7,7.7e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_48.pdb
24,CD39_antibody_121.pdb,CD39_antibody_remaining164,-9.6,8.6e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_121.pdb
25,CD39_antibody_15.pdb,CD39_antibody_remaining238,-9.6,8.7e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_15.pdb
26,CD39_antibody_41.pdb,CD39_antibody_remaining238,-9.6,8.4e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_41.pdb
27,CD39_antibody_11.pdb,CD39_antibody_remaining238,-9.5,1.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_11.pdb
28,CD39_antibody_114.pdb,CD39_antibody_remaining164,-9.5,1.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_114.pdb
29,CD39_antibody_116.pdb,CD39_antibody_remaining164,-9.5,1.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_116.pdb
30,CD39_antibody_23.pdb,CD39_antibody_remaining164,-9.5,1.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_23.pdb
31,CD39_antibody_41.pdb,CD39_antibody_300,-9.5,1.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_41.pdb
32,CD39_antibody_52.pdb,CD39_antibody_remaining238,-9.5,1.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_52.pdb
33,CD39_antibody_55.pdb,CD39_antibody_remaining238,-9.5,1.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_55.pdb
34,CD39_antibody_87.pdb,CD39_antibody_remaining164,-9.5,1.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_87.pdb
35,CD39_antibody_94.pdb,CD39_antibody_remaining164,-9.5,1.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_94.pdb
36,CD39_antibody_1.pdb,CD39_antibody_300,-9.4,1.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_1.pdb
37,CD39_antibody_122.pdb,CD39_antibody_remaining164,-9.4,1.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_122.pdb
38,CD39_antibody_16.pdb,CD39_antibody_remaining238,-9.4,1.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_16.pdb
39,CD39_antibody_2.pdb,CD39_antibody_remaining238,-9.4,1.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_2.pdb
40,CD39_antibody_20.pdb,CD39_antibody_remaining164,-9.4,1.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_20.pdb
41,CD39_antibody_31.pdb,CD39_antibody_remaining238,-9.4,1.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_31.pdb
42,CD39_antibody_52.pdb,CD39_antibody_300,-9.4,1.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_52.pdb
43,CD39_antibody_70.pdb,CD39_antibody_remaining164,-9.4,1.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_70.pdb
44,CD39_antibody_22.pdb,CD39_antibody_remaining164,-9.3,1.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_22.pdb
45,CD39_antibody_26.pdb,CD39_antibody_remaining238,-9.3,1.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_26.pdb
46,CD39_antibody_40.pdb,CD39_antibody_remaining164,-9.3,1.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_40.pdb
47,CD39_antibody_56.pdb,CD39_antibody_remaining164,-9.3,1.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_56.pdb
48,CD39_antibody_62.pdb,CD39_antibody_remaining164,-9.3,1.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_62.pdb
49,CD39_antibody_0.pdb,CD39_antibody_remaining164,-9.2,1.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_0.pdb
50,CD39_antibody_125.pdb,CD39_antibody_remaining164,-9.2,1.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_125.pdb
51,CD39_antibody_154.pdb,CD39_antibody_remaining164,-9.2,1.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_154.pdb
52,CD39_antibody_17.pdb,CD39_antibody_300,-9.2,1.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_17.pdb
53,CD39_antibody_64.pdb,CD39_antibody_remaining164,-9.2,1.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_64.pdb
54,CD39_antibody_0.pdb,CD39_antibody_300,-9.1,2.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_0.pdb
55,CD39_antibody_1.pdb,CD39_antibody_remaining238,-9.1,2.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_1.pdb
56,CD39_antibody_11.pdb,CD39_antibody_remaining164,-9.1,2.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_11.pdb
57,CD39_antibody_110.pdb,CD39_antibody_remaining164,-9.1,2.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_110.pdb
58,CD39_antibody_13.pdb,CD39_antibody_remaining164,-9.1,2.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_13.pdb
59,CD39_antibody_15.pdb,CD39_antibody_remaining164,-9.1,1.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_15.pdb
60,CD39_antibody_18.pdb,CD39_antibody_remaining238,-9.1,2.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_18.pdb
61,CD39_antibody_23.pdb,CD39_antibody_300,-9.1,2.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_23.pdb
62,CD39_antibody_24.pdb,CD39_antibody_300,-9.1,2.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_24.pdb
63,CD39_antibody_25.pdb,CD39_antibody_300,-9.1,2.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_25.pdb
64,CD39_antibody_33.pdb,CD39_antibody_remaining238,-9.1,2.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_33.pdb
65,CD39_antibody_40.pdb,CD39_antibody_300,-9.1,2.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_40.pdb
66,CD39_antibody_49.pdb,CD39_antibody_remaining238,-9.1,2.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_49.pdb
67,CD39_antibody_50.pdb,CD39_antibody_300,-9.1,2.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_50.pdb
68,CD39_antibody_24.pdb,CD39_antibody_remaining238,-9.0,2.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_24.pdb
69,CD39_antibody_29.pdb,CD39_antibody_remaining238,-9.0,2.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_29.pdb
70,CD39_antibody_39.pdb,CD39_antibody_300,-9.0,2.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_39.pdb
71,CD39_antibody_39.pdb,CD39_antibody_remaining164,-9.0,2.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_39.pdb
72,CD39_antibody_58.pdb,CD39_antibody_remaining238,-9.0,2.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_58.pdb
73,CD39_antibody_6.pdb,CD39_antibody_300,-9.0,2.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_6.pdb
74,CD39_antibody_63.pdb,CD39_antibody_remaining164,-9.0,2.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_63.pdb
75,CD39_antibody_69.pdb,CD39_antibody_remaining238,-9.0,2.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_69.pdb
76,CD39_antibody_123.pdb,CD39_antibody_remaining164,-8.9,3.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_123.pdb
77,CD39_antibody_18.pdb,CD39_antibody_300,-8.9,3.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_18.pdb
78,CD39_antibody_26.pdb,CD39_antibody_remaining164,-8.9,2.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_26.pdb
79,CD39_antibody_44.pdb,CD39_antibody_remaining238,-8.9,3.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_44.pdb
80,CD39_antibody_61.pdb,CD39_antibody_remaining238,-8.9,2.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_61.pdb
81,CD39_antibody_7.pdb,CD39_antibody_remaining164,-8.9,2.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_7.pdb
82,CD39_antibody_96.pdb,CD39_antibody_remaining164,-8.9,2.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_96.pdb
83,CD39_antibody_120.pdb,CD39_antibody_remaining164,-8.8,3.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_120.pdb
84,CD39_antibody_133.pdb,CD39_antibody_remaining164,-8.8,3.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_133.pdb
85,CD39_antibody_162.pdb,CD39_antibody_remaining164,-8.8,3.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_162.pdb
86,CD39_antibody_21.pdb,CD39_antibody_300,-8.8,3.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_21.pdb
87,CD39_antibody_3.pdb,CD39_antibody_300,-8.8,3.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_3.pdb
88,CD39_antibody_30.pdb,CD39_antibody_remaining164,-8.8,3.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_30.pdb
89,CD39_antibody_33.pdb,CD39_antibody_remaining164,-8.8,3.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_33.pdb
90,CD39_antibody_34.pdb,CD39_antibody_300,-8.8,3.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_34.pdb
91,CD39_antibody_38.pdb,CD39_antibody_300,-8.8,3.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_38.pdb
92,CD39_antibody_40.pdb,CD39_antibody_remaining238,-8.8,3.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_40.pdb
93,CD39_antibody_6.pdb,CD39_antibody_remaining164,-8.8,3.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_6.pdb
94,CD39_antibody_60.pdb,CD39_antibody_remaining238,-8.8,3.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_60.pdb
95,CD39_antibody_7.pdb,CD39_antibody_300,-8.8,3.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_7.pdb
96,CD39_antibody_107.pdb,CD39_antibody_remaining164,-8.7,4.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_107.pdb
97,CD39_antibody_12.pdb,CD39_antibody_remaining164,-8.7,4.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_12.pdb
98,CD39_antibody_14.pdb,CD39_antibody_remaining164,-8.7,4.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_14.pdb
99,CD39_antibody_16.pdb,CD39_antibody_300,-8.7,4.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_16.pdb
100,CD39_antibody_17.pdb,CD39_antibody_remaining238,-8.7,3.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_17.pdb
101,CD39_antibody_18.pdb,CD39_antibody_remaining164,-8.7,4.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_18.pdb
102,CD39_antibody_19.pdb,CD39_antibody_remaining238,-8.7,4.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_19.pdb
103,CD39_antibody_26.pdb,CD39_antibody_300,-8.7,4.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_26.pdb
104,CD39_antibody_29.pdb,CD39_antibody_300,-8.7,3.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_29.pdb
105,CD39_antibody_3.pdb,CD39_antibody_remaining238,-8.7,4.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_3.pdb
106,CD39_antibody_48.pdb,CD39_antibody_300,-8.7,4.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_48.pdb
107,CD39_antibody_53.pdb,CD39_antibody_remaining164,-8.7,4.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_53.pdb
108,CD39_antibody_59.pdb,CD39_antibody_remaining238,-8.7,4.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_59.pdb
109,CD39_antibody_12.pdb,CD39_antibody_300,-8.6,5.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_12.pdb
110,CD39_antibody_12.pdb,CD39_antibody_remaining238,-8.6,5.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_12.pdb
111,CD39_antibody_135.pdb,CD39_antibody_remaining164,-8.6,5.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_135.pdb
112,CD39_antibody_136.pdb,CD39_antibody_remaining164,-8.6,4.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_136.pdb
113,CD39_antibody_145.pdb,CD39_antibody_remaining164,-8.6,4.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_145.pdb
114,CD39_antibody_34.pdb,CD39_antibody_remaining164,-8.6,4.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_34.pdb
115,CD39_antibody_46.pdb,CD39_antibody_300,-8.6,4.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_46.pdb
116,CD39_antibody_55.pdb,CD39_antibody_300,-8.6,5.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_55.pdb
117,CD39_antibody_66.pdb,CD39_antibody_remaining164,-8.6,4.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_66.pdb
118,CD39_antibody_76.pdb,CD39_antibody_remaining164,-8.6,5.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_76.pdb
119,CD39_antibody_82.pdb,CD39_antibody_remaining164,-8.6,4.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_82.pdb
120,CD39_antibody_128.pdb,CD39_antibody_remaining164,-8.5,6.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_128.pdb
121,CD39_antibody_13.pdb,CD39_antibody_300,-8.5,5.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_13.pdb
122,CD39_antibody_137.pdb,CD39_antibody_remaining164,-8.5,5.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_137.pdb
123,CD39_antibody_158.pdb,CD39_antibody_remaining164,-8.5,5.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_158.pdb
124,CD39_antibody_2.pdb,CD39_antibody_300,-8.5,6.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_2.pdb
125,CD39_antibody_20.pdb,CD39_antibody_300,-8.5,6.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_20.pdb
126,CD39_antibody_50.pdb,CD39_antibody_remaining164,-8.5,6.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_50.pdb
127,CD39_antibody_51.pdb,CD39_antibody_remaining164,-8.5,5.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_51.pdb
128,CD39_antibody_62.pdb,CD39_antibody_remaining238,-8.5,5.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_62.pdb
129,CD39_antibody_7.pdb,CD39_antibody_remaining238,-8.5,5.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_7.pdb
130,CD39_antibody_89.pdb,CD39_antibody_remaining164,-8.5,5.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_89.pdb
131,CD39_antibody_117.pdb,CD39_antibody_remaining164,-8.4,7.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_117.pdb
132,CD39_antibody_118.pdb,CD39_antibody_remaining164,-8.4,7.0e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_118.pdb
133,CD39_antibody_14.pdb,CD39_antibody_remaining238,-8.4,7.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_14.pdb
134,CD39_antibody_148.pdb,CD39_antibody_remaining164,-8.4,6.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_148.pdb
135,CD39_antibody_153.pdb,CD39_antibody_remaining164,-8.4,6.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_153.pdb
136,CD39_antibody_23.pdb,CD39_antibody_remaining238,-8.4,7.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_23.pdb
137,CD39_antibody_27.pdb,CD39_antibody_remaining164,-8.4,7.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_27.pdb
138,CD39_antibody_30.pdb,CD39_antibody_300,-8.4,6.8e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_30.pdb
139,CD39_antibody_4.pdb,CD39_antibody_300,-8.4,6.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_4.pdb
140,CD39_antibody_42.pdb,CD39_antibody_remaining238,-8.4,6.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_42.pdb
141,CD39_antibody_49.pdb,CD39_antibody_300,-8.4,7.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_49.pdb
142,CD39_antibody_5.pdb,CD39_antibody_remaining238,-8.4,6.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_5.pdb
143,CD39_antibody_75.pdb,CD39_antibody_remaining164,-8.4,6.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_75.pdb
144,CD39_antibody_97.pdb,CD39_antibody_remaining164,-8.4,6.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_97.pdb
145,CD39_antibody_0.pdb,CD39_antibody_remaining238,-8.3,7.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_0.pdb
146,CD39_antibody_22.pdb,CD39_antibody_300,-8.3,8.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_22.pdb
147,CD39_antibody_27.pdb,CD39_antibody_remaining238,-8.3,8.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_27.pdb
148,CD39_antibody_28.pdb,CD39_antibody_remaining164,-8.3,8.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_28.pdb
149,CD39_antibody_52.pdb,CD39_antibody_remaining164,-8.3,8.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_52.pdb
150,CD39_antibody_65.pdb,CD39_antibody_remaining238,-8.3,8.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_65.pdb
151,CD39_antibody_99.pdb,CD39_antibody_remaining164,-8.3,8.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_99.pdb
152,CD39_antibody_108.pdb,CD39_antibody_remaining164,-8.2,9.4e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_108.pdb
153,CD39_antibody_11.pdb,CD39_antibody_300,-8.2,9.7e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_11.pdb
154,CD39_antibody_124.pdb,CD39_antibody_remaining164,-8.2,9.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_124.pdb
155,CD39_antibody_25.pdb,CD39_antibody_remaining164,-8.2,9.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_25.pdb
